"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - African","V00-Y98 External causes of injury and poisoning","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - African","V00-Y98 External causes of injury and poisoning","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - African","V00-Y98 External causes of injury and poisoning","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - African","V00-Y98 External causes of injury and poisoning","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - African","V00-Y98 External causes of injury and poisoning","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - African","V00-Y98 External causes of injury and poisoning","64 years and under","Number","0","0","9","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - African","V00-Y98 External causes of injury and poisoning","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","40 - 64 years","Number","0","0","0","291","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","64 years and under","Number","0","0","0","74","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","All deaths","65 years and over","Number","5556","5556","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","A00-B99 Infectious and parasitic diseases","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","C00-D48 Neoplasms","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","E00-E90 Endocrine, nutritional and metabolic diseases","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","F00-F99 Mental and behavioural disorders","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","G00-G99 Diseases of the nervous system","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H00-H59 Diseases of the eye and adnexa","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","H60-H95 Diseases of the ear and mastoid process","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","I00-I99 Diseases of the circulatory system","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","J00-J99 Diseases of the respiratory system","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","K00-K93 Diseases of the digestive system","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","L00-L99 Diseases of the skin and subcutaneous tissue","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","65 - 69 years","Number","0","0","0","0","0","0"
